0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/js/bootstrap-carousel.js HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/js/holder/holder.js HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:02:40 +0530] "GET /assets/js/bootstrap-typeahead.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:56:37 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:56:37 +0530] "GET /examples/images/slide1.png HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:56:37 +0530] "GET /examples/images/slide2.png HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2017:15:56:37 +0530] "GET /examples/images/slide3.png HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:00:47 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:00:48 +0530] "GET /resources/Images/2.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:00:48 +0530] "GET /resources/Images/1.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:00:48 +0530] "GET /resources/Images/4.png HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:01:21 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:01:21 +0530] "GET /Priyanka/resources/Images/2.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:01:21 +0530] "GET /Priyanka/resources/Images/4.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:01:21 +0530] "GET /Priyanka/resources/Images/1.png HTTP/1.1" 200 1411979
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:01 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:01 +0530] "GET /Priyanka/resources/Images/2.jpg HTTP/1.1" 200 250485
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:01 +0530] "GET /Priyanka/resources/Images/4.jpg HTTP/1.1" 200 160875
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:19 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:19 +0530] "GET /Priyanka/resources/Images/1.png HTTP/1.1" 200 1411979
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:19 +0530] "GET /Priyanka/resources/Images/4.jpg HTTP/1.1" 200 160875
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:19 +0530] "GET /Priyanka/resources/Images/2.jpg HTTP/1.1" 200 250485
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:02:19 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:05:11 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:05:11 +0530] "GET /Priyanka/resources/Images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:05:11 +0530] "GET /Priyanka/resources/Images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:05:11 +0530] "GET /Priyanka/resources/Images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:11:58 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:19:15 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:19:15 +0530] "GET /Priyanka/resources/Images/1.png HTTP/1.1" 200 1336164
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:19:15 +0530] "GET /Priyanka/resources/Images/2.jpg HTTP/1.1" 200 221991
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:19:15 +0530] "GET /Priyanka/resources/Images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:20:41 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:20:41 +0530] "GET /Priyanka/resources/Images/1.png HTTP/1.1" 200 1336164
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:20:41 +0530] "GET /Priyanka/resources/Images/2.jpg HTTP/1.1" 200 221991
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:20:41 +0530] "GET /Priyanka/resources/Images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:46:34 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:47:21 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [22/Nov/2017:16:47:36 +0530] "GET /Priyanka/index.jsp HTTP/1.1" 200 2264
