127.0.0.1 - - [21/Oct/2017:16:42:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:42:14 +0530] "GET /cIf/index.jsp HTTP/1.1" 500 2884
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:43:58 +0530] "GET /cIf/index.jsp HTTP/1.1" 500 2884
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:44:00 +0530] "GET /cIf/index.jsp HTTP/1.1" 500 2577
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:44:13 +0530] "GET /cIf/ HTTP/1.1" 500 2884
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:44:31 +0530] "GET /cIf/ HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:45:06 +0530] "GET /cIf/ HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:46:00 +0530] "GET /cIf/ HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:46:53 +0530] "GET /cIf/ HTTP/1.1" 500 3031
0:0:0:0:0:0:0:1 - - [21/Oct/2017:16:48:29 +0530] "GET /cIf/ HTTP/1.1" 200 334
